region,price,year,cylinders,fuel,odometer,title_status,transmission,drive,lat,long
maine,23000,2019.0,4,1,12632.0,1,1,2,43.5835,-70.3457
boston,31390,2019.0,6,3,30419.0,1,1,1,42.130177,-71.524671
boston,21700,2015.0,6,1,71732.0,1,1,1,42.37967,-71.09024
boston,26590,2018.0,6,3,69616.0,1,1,1,42.130177,-71.524671
detroit metro,26997,2020.0,6,1,22000.0,3,1,1,42.8187,-85.5244
flint,40600,2020.0,6,1,17800.0,1,1,1,42.914295,-83.755627
grand rapids,26997,2020.0,6,1,22000.0,3,1,1,42.8187,-85.5244
grand rapids,30600,2019.0,6,1,43500.0,1,1,1,42.914295,-83.755627
grand rapids,5999,2010.0,4,1,109364.0,1,1,2,42.635127,-85.284634
grand rapids,17995,2016.0,6,1,128480.0,1,1,1,43.0506,-83.61512
grand rapids,5999,2010.0,4,1,109364.0,1,1,2,42.635127,-85.284634
kalamazoo,5999,2010.0,4,1,109364.0,1,1,2,42.635048,-85.284505
kalamazoo,5999,2010.0,4,1,109364.0,1,1,2,42.635048,-85.284505
lansing,17995,2016.0,6,1,128480.0,1,1,1,43.0506,-83.61512
northern michigan,17995,2016.0,6,1,128480.0,1,1,1,43.0506,-83.61512
southwest michigan,26997,2020.0,6,1,22000.0,3,1,1,42.8187,-85.5244
brainerd,22500,2015.0,6,1,70700.0,1,1,2,46.0902,-93.6867
billings,29999,2019.0,6,1,10994.0,1,1,1,40.374375,-104.694103
asheville,24999,2016.0,6,1,86000.0,1,1,1,36.1055,-83.946
charlotte,14882,2015.0,6,1,151780.0,2,1,1,36.107596,-86.743824
charlotte,19442,2018.0,6,1,104624.0,2,1,1,36.107596,-86.743824
charlotte,12985,2017.0,4,1,102905.0,1,1,2,35.833767,-80.87354
las vegas,21995,2015.0,6,1,102598.0,1,1,1,33.623957,-112.010345
las vegas,29995,2018.0,5,2,72951.0,1,1,1,33.6241,-112.010365
las vegas,26995,2019.0,6,1,30703.0,1,1,1,33.623814,-112.010021
las vegas,16995,2015.0,6,1,80384.0,1,1,1,33.623957,-112.010365
las vegas,17995,2016.0,6,1,81037.0,1,1,1,33.624386,-112.010193
las vegas,30500,2017.0,6,1,36000.0,1,1,1,36.0008,-114.9588
central NJ,25995,2018.0,6,1,51238.0,1,1,2,40.463961,-74.262957
central NJ,28900,2018.0,6,1,70600.0,1,3,1,40.32211,-74.073255
central NJ,39000,2017.0,6,1,13100.0,3,1,1,40.385866,-74.142911
central NJ,28985,2016.0,6,3,135056.0,1,1,1,40.879741,-74.614283
central NJ,28900,2018.0,6,1,70600.0,1,3,1,40.32211,-74.073255
jersey shore,28900,2018.0,6,1,70600.0,1,3,1,40.32211,-74.073255
jersey shore,28900,2018.0,6,1,70600.0,1,3,1,40.32211,-74.073255
north jersey,28900,2018.0,6,1,70600.0,1,3,1,40.32211,-74.073255
albuquerque,21995,2015.0,6,1,102598.0,1,1,1,33.624243,-112.010345
albuquerque,29995,2018.0,5,2,72951.0,1,1,1,33.623957,-112.010708
albuquerque,23995,2015.0,6,1,90547.0,1,1,1,33.623957,-112.00985
albuquerque,26995,2019.0,6,1,30703.0,1,1,1,33.6241,-112.010365
albuquerque,16995,2015.0,6,1,80384.0,1,1,1,33.6241,-112.010365
albuquerque,17995,2016.0,6,1,81037.0,1,1,1,33.623528,-112.010708
finger lakes,7900,2012.0,6,1,160000.0,1,1,2,42.715205,-77.194056
long island,14999,2015.0,6,1,63000.0,1,1,1,40.652615,-73.886775
new york city,3000,2010.0,4,1,210000.0,1,2,1,40.9351,-73.7571
new hampshire,19995,2015.0,6,1,96346.0,1,1,1,42.13448,-70.950051
akron / canton,24999,2017.0,6,1,66655.0,1,1,1,41.038965,-81.575742
cincinnati,15900,2015.0,6,1,127200.0,1,1,1,39.193119,-84.24725
cleveland,24999,2017.0,6,1,66655.0,1,1,1,41.038965,-81.575742
columbus,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
columbus,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
columbus,35592,2019.0,6,1,28566.0,1,1,1,39.76807,-84.19472
columbus,35592,2019.0,6,1,28566.0,1,1,1,39.76807,-84.19472
columbus,39999,2020.0,6,1,49333.0,1,1,1,39.76807,-84.19472
columbus,19999,2015.0,6,1,126163.0,1,1,1,39.76807,-84.19472
dayton / springfield,35592,2019.0,6,1,28566.0,1,1,1,39.76807,-84.19472
dayton / springfield,19999,2015.0,6,1,126163.0,1,1,1,39.76807,-84.19472
dayton / springfield,39999,2020.0,6,1,49333.0,1,1,1,39.76807,-84.19472
dayton / springfield,35592,2019.0,6,1,28566.0,1,1,1,39.76807,-84.19472
dayton / springfield,35592,2019.0,6,1,28566.0,1,1,1,39.76807,-84.19472
dayton / springfield,39999,2020.0,6,1,49333.0,1,1,1,39.76807,-84.19472
dayton / springfield,35592,2019.0,6,1,28566.0,1,1,1,39.76807,-84.19472
dayton / springfield,19999,2015.0,6,1,126163.0,1,1,1,39.76807,-84.19472
dayton / springfield,35592,2019.0,6,1,28566.0,1,1,1,39.76807,-84.19472
dayton / springfield,39999,2020.0,6,1,49333.0,1,1,1,39.76807,-84.19472
dayton / springfield,19999,2015.0,6,1,126163.0,1,1,1,39.76807,-84.19472
bend,25990,2015.0,6,1,70069.0,1,1,1,45.382346,-122.605132
bend,35990,2019.0,6,1,34627.0,1,1,1,45.382346,-122.605132
bend,28990,2016.0,6,1,31901.0,1,1,1,45.382346,-122.605132
bend,25990,2015.0,6,1,70069.0,1,1,1,45.382346,-122.605132
bend,35990,2019.0,6,1,34627.0,1,1,1,45.382346,-122.605132
corvallis/albany,25990,2015.0,6,1,70069.0,1,1,1,45.382346,-122.605132
corvallis/albany,35990,2019.0,6,1,34627.0,1,1,1,45.382346,-122.605132
corvallis/albany,35990,2019.0,6,1,34627.0,1,1,1,45.382346,-122.605132
corvallis/albany,25990,2015.0,6,1,70069.0,1,1,1,45.382346,-122.605132
corvallis/albany,28990,2016.0,6,1,31901.0,1,1,1,45.382346,-122.605132
eugene,25990,2015.0,6,1,70069.0,1,1,1,45.382346,-122.605132
eugene,25990,2015.0,6,1,70069.0,1,1,1,45.382346,-122.605132
eugene,28990,2016.0,6,1,31901.0,1,1,1,45.382346,-122.605132
eugene,35990,2019.0,6,1,34627.0,1,1,1,45.382346,-122.605132
klamath falls,412,2019.0,6,1,13464.0,1,1,1,42.201075,-121.757153
klamath falls,412,2019.0,6,1,13464.0,1,1,1,42.201075,-121.757153
medford-ashland,32980,2019.0,6,1,23530.0,1,1,1,38.79662,-121.21584
medford-ashland,31980,2019.0,6,1,17445.0,1,1,1,38.79662,-121.21584
oregon coast,28990,2016.0,6,1,31901.0,1,1,1,45.382346,-122.605132
oregon coast,35990,2019.0,6,1,34627.0,1,1,1,45.382346,-122.605132
oregon coast,25990,2015.0,6,1,70069.0,1,1,1,45.382346,-122.605132
portland,34995,2015.0,6,1,54000.0,1,1,1,45.512148,-122.578701
portland,33770,2019.0,6,1,10887.0,1,1,1,45.488858,-122.803742
portland,41440,2020.0,6,1,6361.0,1,1,1,45.488858,-122.803742
salem,25990,2015.0,6,1,70069.0,1,1,1,45.382346,-122.605132
salem,35990,2019.0,6,1,34627.0,1,1,1,45.382346,-122.605132
salem,28990,2016.0,6,1,31901.0,1,1,1,45.382346,-122.605132
salem,35990,2019.0,6,1,34627.0,1,1,1,45.382346,-122.605132
salem,25990,2015.0,6,1,70069.0,1,1,1,45.382346,-122.605132
harrisburg,42500,2018.0,6,1,3900.0,1,1,1,40.5994,-77.5756
philadelphia,18990,2016.0,6,1,103957.0,1,1,1,40.491,-74.29759
philadelphia,25990,2018.0,6,1,89466.0,1,1,1,40.491,-74.29759
philadelphia,18990,2016.0,6,1,103957.0,1,1,1,40.491,-74.29759
philadelphia,28490,2018.0,6,1,36754.0,1,1,1,40.491,-74.29759
columbia,22500,2017.0,6,1,95764.0,1,1,1,29.99989,-81.68381
columbia,21800,2016.0,6,1,91931.0,1,1,1,29.99989,-81.68381
